Pod_name,Job_name,Job_submit,Pod_create,Pod_start,Pod_end,Pod_wait_create,Pod_wait_run,Pod_wait_total,Pod_running_time,Pod_total_time,Running node,Requests_memory,Limits_memory,Requests_cpu,Limits_cpu,Requests_gpu,Limits_gpu
default-gpu-test-0-test-gpu-0,gpu-test-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:03:01,0.0,0.0,0.0,181.0,181.0,node-universal-6,500m,1,800Mi,1000Mi,1,1
default-gpu-test-0-test-gpu-1,gpu-test-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:03:15,0.0,0.0,0.0,195.0,195.0,node-universal-6,500m,1,800Mi,1000Mi,1,1
default-gpu-test-0-test-gpu-2,gpu-test-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:03:08,0.0,0.0,0.0,188.0,188.0,node-universal-6,500m,1,800Mi,1000Mi,1,1
default-gpu-test-0-test-gpu-3,gpu-test-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:03:03,0.0,0.0,0.0,183.0,183.0,node-universal-6,500m,1,800Mi,1000Mi,1,1
default-gpu-test-0-test-gpu-4,gpu-test-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:03:07,0.0,0.0,0.0,187.0,187.0,node-universal-6,500m,1,800Mi,1000Mi,1,1
default-gpu-test-0-test-gpu-5,gpu-test-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:55,0.0,0.0,0.0,115.0,115.0,node-universal-7,500m,1,800Mi,1000Mi,1,1
default-gpu-test-0-test-gpu-6,gpu-test-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:55,0.0,0.0,0.0,115.0,115.0,node-universal-1,500m,1,800Mi,1000Mi,1,1
default-gpu-test-0-test-gpu-7,gpu-test-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:03:02,0.0,0.0,0.0,182.0,182.0,node-universal-6,500m,1,800Mi,1000Mi,1,1
default-gpu-test-0-test-gpu-8,gpu-test-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:03:10,0.0,0.0,0.0,190.0,190.0,node-universal-6,500m,1,800Mi,1000Mi,1,1
default-gpu-test-0-test-gpu-9,gpu-test-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:03:09,0.0,0.0,0.0,189.0,189.0,node-universal-6,500m,1,800Mi,1000Mi,1,1
default-gpu-test-1-test-gpu-0,gpu-test-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:16,0.0,0.0,0.0,136.0,136.0,node-universal-6,1,2,1000Mi,2000Mi,1,1
default-gpu-test-1-test-gpu-1,gpu-test-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:06,0.0,0.0,0.0,126.0,126.0,node-universal-6,1,2,1000Mi,2000Mi,1,1
default-gpu-test-1-test-gpu-2,gpu-test-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:14,0.0,0.0,0.0,134.0,134.0,node-universal-6,1,2,1000Mi,2000Mi,1,1
default-gpu-test-1-test-gpu-3,gpu-test-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:19,0.0,0.0,0.0,139.0,139.0,node-universal-6,1,2,1000Mi,2000Mi,1,1
default-gpu-test-1-test-gpu-4,gpu-test-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:08,0.0,0.0,0.0,128.0,128.0,node-universal-6,1,2,1000Mi,2000Mi,1,1
default-gpu-test-1-test-gpu-5,gpu-test-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:20,0.0,0.0,0.0,140.0,140.0,node-universal-6,1,2,1000Mi,2000Mi,1,1
default-gpu-test-1-test-gpu-6,gpu-test-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:07,0.0,0.0,0.0,127.0,127.0,node-universal-6,1,2,1000Mi,2000Mi,1,1
default-gpu-test-1-test-gpu-7,gpu-test-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:13,0.0,0.0,0.0,133.0,133.0,node-universal-6,1,2,1000Mi,2000Mi,1,1
default-gpu-test-1-test-gpu-8,gpu-test-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:21,0.0,0.0,0.0,141.0,141.0,node-universal-6,1,2,1000Mi,2000Mi,1,1
default-gpu-test-1-test-gpu-9,gpu-test-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:15,0.0,0.0,0.0,135.0,135.0,node-universal-6,1,2,1000Mi,2000Mi,1,1
default-gpu-test-2-test-gpu-0,gpu-test-2,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:13,0.0,0.0,0.0,133.0,133.0,node-universal-6,2,3500m,2Gi,4Gi,1,1
